Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Stray Vacancy,"COIMBATORE MEDICAL
COLLEGE,COIMBATORE",MBBS,All India,SC,101734,102010,2
Stray Vacancy,"COLLEGE OF MEDICINE and
JNM HOSPITAL, KALYANI",MBBS,All India,OBC,19351,19351,1
Stray Vacancy,"COLLEGE OF MEDICINE and
JNM HOSPITAL, KALYANI",MBBS,All India,Open,17183,19225,2
Stray Vacancy,"Chhindwara Institute of Medical
Sciences",MBBS,All India,SC,101613,101613,1
Stray Vacancy,"College of Nursing Ahilya Bai
College of Nursing, Maulana
Azad Medical College",B.Sc. Nursing,B.Sc Nursing All India,Open,58006,58006,1
Stray Vacancy,"College of Nursing Ahilya Bai
College of Nursing, Maulana
Azad Medical College",B.Sc. Nursing,B.Sc Nursing All India,SC,217863,217863,1
Stray Vacancy,"College of Nursing Ahilya Bai
College of Nursing, Maulana
Azad Medical College",B.Sc. Nursing,B.Sc Nursing Delhi NCR,EWS,209314,209314,1
Stray Vacancy,"College of Nursing Ahilya Bai
College of Nursing, Maulana
Azad Medical College",B.Sc. Nursing,B.Sc Nursing Delhi NCR,OBC,228316,238439,2
Stray Vacancy,"College of Nursing Ahilya Bai
College of Nursing, Maulana
Azad Medical College",B.Sc. Nursing,B.Sc Nursing Delhi NCR,Open,156694,157643,2
Stray Vacancy,"College of Nursing Ahilya Bai
College of Nursing, Maulana
Azad Medical College",B.Sc. Nursing,B.Sc Nursing Delhi NCR,SC,238383,242725,2
Stray Vacancy,"College of Nursing BHU,
VARANASI",B.Sc. Nursing,B.Sc Nursing All India,EWS,103467,111841,3
Stray Vacancy,"College of Nursing BHU,
VARANASI",B.Sc. Nursing,B.Sc Nursing All India,OBC,98430,106731,6
Stray Vacancy,"College of Nursing BHU,
VARANASI",B.Sc. Nursing,B.Sc Nursing All India,Open,83063,98296,12
Stray Vacancy,"College of Nursing BHU,
VARANASI",B.Sc. Nursing,B.Sc Nursing All India,SC,176905,184301,5
Stray Vacancy,"College of Nursing BHU,
VARANASI",B.Sc. Nursing,B.Sc Nursing All India,ST,207807,233974,3
Stray Vacancy,"College of Nursing Bhopal
Nursing College, BMHRC,
BHOPAL",B.Sc. Nursing,B.Sc Nursing All India,EWS,111044,116701,3
Stray Vacancy,"College of Nursing Bhopal
Nursing College, BMHRC,
BHOPAL",B.Sc. Nursing,B.Sc Nursing All India,OBC,105144,111257,7
Stray Vacancy,"College of Nursing Bhopal
Nursing College, BMHRC,
BHOPAL",B.Sc. Nursing,B.Sc Nursing All India,Open,81675,102809,11
Stray Vacancy,"College of Nursing Bhopal
Nursing College, BMHRC,
BHOPAL",B.Sc. Nursing,B.Sc Nursing All India,SC,177571,184462,3
Stray Vacancy,"College of Nursing Bhopal
Nursing College, BMHRC,
BHOPAL",B.Sc. Nursing,B.Sc Nursing All India,ST,208029,225223,3
Stray Vacancy,"College of Nursing Dr. RML
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,OBC,126628,128727,5
Stray Vacancy,"College of Nursing Dr. RML
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,Open,114947,124866,7
Stray Vacancy,"College of Nursing Dr. RML
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,SC,217222,222590,3
Stray Vacancy,"College of Nursing Dr. RML
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,ST,319933,354871,3
Stray Vacancy,"College of Nursing Florence
Nightingale CON, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,OBC,125696,125696,1
Stray Vacancy,"College of Nursing Florence
Nightingale CON, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,Open,125119,125119,1
Stray Vacancy,"College of Nursing Florence
Nightingale CON, New Delhi",B.Sc. Nursing,B.Sc Nursing Delhi NCR,OBC,244461,254817,3
Stray Vacancy,"College of Nursing Florence
Nightingale CON, New Delhi",B.Sc. Nursing,B.Sc Nursing Delhi NCR,Open,155496,155496,1
Stray Vacancy,"College of Nursing Florence
Nightingale CON, New Delhi",B.Sc. Nursing,B.Sc Nursing Delhi NCR,SC,242681,242681,1
Stray Vacancy,"College of Nursing LHMC, New
Delhi",B.Sc. Nursing,B.Sc Nursing All India,OBC,125360,125360,1
Stray Vacancy,"College of Nursing LHMC, New
Delhi",B.Sc. Nursing,B.Sc Nursing All India,Open,101402,123213,5
Stray Vacancy,"College of Nursing LHMC, New
Delhi",B.Sc. Nursing,B.Sc Nursing All India,SC,214826,225859,3
Stray Vacancy,"College of Nursing LHMC, New
Delhi",B.Sc. Nursing,B.Sc Nursing All India,ST,329895,329895,1
Stray Vacancy,"College of Nursing RAK CON,
New Delhi",B.Sc. Nursing,B.Sc Nursing All India,OBC,128936,130841,5
Stray Vacancy,"College of Nursing RAK CON,
New Delhi",B.Sc. Nursing,B.Sc Nursing All India,Open,120412,122852,3
Stray Vacancy,"College of Nursing RAK CON,
New Delhi",B.Sc. Nursing,B.Sc Nursing All India,SC,227088,238708,3
Stray Vacancy,"College of Nursing RAK CON,
New Delhi",B.Sc. Nursing,B.Sc Nursing All India,ST,335501,378899,2
Stray Vacancy,"College of Nursing Safdarjung
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,Open,122941,130237,8
Stray Vacancy,"College of Nursing Safdarjung
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,SC,221184,226995,2
Stray Vacancy,"College of Nursing Safdarjung
Hospital, New Delhi",B.Sc. Nursing,B.Sc Nursing All India,ST,362172,387534,2
Stray Vacancy,"DC, RIMS, Imphal",BDS,All India,EWS,39517,39517,1
Stray Vacancy,"DC, RIMS, Imphal",BDS,All India,OBC,34087,34087,1
Stray Vacancy,"DC, RIMS, Imphal",BDS,All India,Open,30845,33889,3
Stray Vacancy,"DC, RIMS, Imphal",BDS,All India,SC,120984,120984,1
Stray Vacancy,"DR. R. AHMED DENT.COLL &
HOSP,KOLKATA",BDS,All India,Open,32700,33400,3
Stray Vacancy,"DR. R. AHMED DENT.COLL &
HOSP,KOLKATA",BDS,All India,SC,121428,127033,3
Stray Vacancy,"DR. R. AHMED DENT.COLL &
HOSP,KOLKATA",BDS,All India,ST,145719,145719,1
Stray Vacancy,"DR. VAISHAMPAYAM
MEMORIAL M.C.,SHOLAPUR",MBBS,All India,EWS,19666,19666,1
